LOCALITY_ID,LOCALITY_NAME,LOCALITY_TYPE,POSTCODE,STATE,LGA_CODE,LGA_NAME
NSW1,AARONS PASS,GAZETTED LOCALITY,2850,NSW,LGA15270,Mid-Western Regional (A)
NSW2,ABBOTSBURY,GAZETTED LOCALITY,2176,NSW,LGA12850,Fairfield (C)
NSW3,ABBOTSFORD,GAZETTED LOCALITY,2046,NSW,LGA11520,Canada Bay (A)
NSW4,ABERCROMBIE,GAZETTED LOCALITY,2795,NSW,LGA10470,Bathurst Regional (A)
NSW5,ABERCROMBIE RIVER,GAZETTED LOCALITY,2795,NSW,LGA10470,Bathurst Regional (A)
NSW6,ABERDARE,GAZETTED LOCALITY,2325,NSW,LGA11720,Cessnock (C)
NSW8,ABERDEEN,GAZETTED LOCALITY,2336,NSW,LGA17620,Upper Hunter Shire (A)
NSW9,ABERFOYLE,GAZETTED LOCALITY,2350,NSW,LGA10130,Armidale Regional (A)
NSW10,ABERGLASSLYN,GAZETTED LOCALITY,2320,NSW,LGA15050,Maitland (C)
NSW11,ABERMAIN,GAZETTED LOCALITY,2326,NSW,LGA11720,Cessnock (C)
NSW12,ABERNETHY,GAZETTED LOCALITY,2325,NSW,LGA11720,Cessnock (C)
NSW13,ABINGTON,GAZETTED LOCALITY,2350,NSW,LGA17650,Uralla (A)
NSW5028,ACACIA CREEK,GAZETTED LOCALITY,2476,NSW,LGA17400,Tenterfield (A)
NSW14,ACACIA GARDENS,GAZETTED LOCALITY,2763,NSW,LGA10750,Blacktown (C)
NSW15,ADAMINABY,GAZETTED LOCALITY,2629,NSW,LGA17040,Snowy Monaro Regional (A)
NSW16,ADAMSTOWN,GAZETTED LOCALITY,2289,NSW,LGA15900,Newcastle (C)
NSW17,ADAMSTOWN HEIGHTS,GAZETTED LOCALITY,2289,NSW,LGA15900,Newcastle (C)
NSW18,ADELONG,GAZETTED LOCALITY,2729,NSW,LGA17080,Snowy Valleys (A)
NSW19,ADJUNGBILLY,GAZETTED LOCALITY,2727,NSW,LGA13510,Gundagai (A)
NSW20,AFTERLEE,GAZETTED LOCALITY,2474,NSW,LGA14550,Kyogle (A)
NSW21,AGNES BANKS,GAZETTED LOCALITY,2753,NSW,LGA16350,Penrith (C)
NSW22,AIRDS,GAZETTED LOCALITY,2560,NSW,LGA11500,Campbelltown (C) (NSW)
NSW23,AKOLELE,GAZETTED LOCALITY,2546,NSW,LGA12750,Eurobodalla (A)
NSW24,ALBERT,GAZETTED LOCALITY,2873,NSW,LGA14600,Lachlan (A)
NSW25,ALBION PARK,GAZETTED LOCALITY,2527,NSW,LGA16900,Shellharbour (C)
NSW26,ALBION PARK RAIL,GAZETTED LOCALITY,2527,NSW,LGA16900,Shellharbour (C)
NSW27,ALBURY,GAZETTED LOCALITY,2640,NSW,LGA10050,Albury (C)
NSW28,ALDAVILLA,GAZETTED LOCALITY,2440,NSW,LGA14350,Kempsey (A)
NSW29,ALECTOWN,GAZETTED LOCALITY,2870,NSW,LGA16200,Parkes (A)
NSW30,ALEXANDRIA,GAZETTED LOCALITY,2015,NSW,LGA17200,Sydney (C)
NSW31,ALFORDS POINT,GAZETTED LOCALITY,2234,NSW,LGA17150,Sutherland Shire (A)
NSW32,ALFREDTOWN,GAZETTED LOCALITY,2650,NSW,LGA17750,Wagga Wagga (C)
NSW33,ALICE,GAZETTED LOCALITY,2469,NSW,LGA11730,Clarence Valley (A)
NSW34,ALISON,GAZETTED LOCALITY,2420,NSW,LGA12700,Dungog (A)
NSW35,ALISON,GAZETTED LOCALITY,2259,NSW,LGA11650,Central Coast (C) (NSW)
NSW36,ALLAMBIE HEIGHTS,GAZETTED LOCALITY,2100,NSW,LGA15990,Northern Beaches (A)
NSW37,ALLANDALE,GAZETTED LOCALITY,2320,NSW,LGA11720,Cessnock (C)
NSW38,ALLAWAH,GAZETTED LOCALITY,2218,NSW,LGA12930,Georges River (A)
NSW39,ALLEENA,GAZETTED LOCALITY,2671,NSW,LGA10800,Bland (A)
NSW40,ALLGOMERA,GAZETTED LOCALITY,2441,NSW,LGA15700,Nambucca (A)
NSW41,ALLWORTH,GAZETTED LOCALITY,2425,NSW,LGA15240,Mid-Coast (A)
NSW42,ALLYNBROOK,GAZETTED LOCALITY,2311,NSW,LGA12700,Dungog (A)
NSW43,ALMA PARK,GAZETTED LOCALITY,2659,NSW,LGA13340,Greater Hume Shire (A)
NSW44,ALPINE,GAZETTED LOCALITY,2575,NSW,LGA18350,Wingecarribee (A)
NSW45,ALSTONVALE,GAZETTED LOCALITY,2477,NSW,LGA10250,Ballina (A)
NSW46,ALSTONVILLE,GAZETTED LOCALITY,2477,NSW,LGA10250,Ballina (A)
NSW47,ALUMY CREEK,GAZETTED LOCALITY,2460,NSW,LGA11730,Clarence Valley (A)
NSW48,AMAROO,GAZETTED LOCALITY,2866,NSW,LGA11400,Cabonne (A)
NSW49,AMBARVALE,GAZETTED LOCALITY,2560,NSW,LGA11500,Campbelltown (C) (NSW)
NSW5031,AMOSFIELD,GAZETTED LOCALITY,4380,NSW,LGA17400,Tenterfield (A)
NSW5049,ANABRANCH NORTH,GAZETTED LOCALITY,2648,NSW,LGA18200,Wentworth (A)
NSW5048,ANABRANCH SOUTH,GAZETTED LOCALITY,2648,NSW,LGA18200,Wentworth (A)
NSW51,ANAMBAH,GAZETTED LOCALITY,2320,NSW,LGA15050,Maitland (C)
NSW52,ANDO,GAZETTED LOCALITY,2631,NSW,LGA17040,Snowy Monaro Regional (A)
